id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
265704;28/01/2020;terça-feira;12:30:00;BA;367;23,3;PORTO SEGURO;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Reta;Sim;3;0;1;0;1;1;1;2;-16,43518;-39,07201;SR-BA;DEL10/9;UOP01/BA
265705;28/01/2020;terça-feira;16:15:00;PA;155;340;MARABA;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Desvio Temporário;Não;3;0;2;0;0;1;2;2;-5,396032;-49,07748;SR-PA;DEL19/3;UOP01/PA
265706;28/01/2020;terça-feira;16:00:00;MT;70;502;CUIABA;Desobediência às normas de trânsito pelo condutor;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;6;0;3;0;3;0;3;4;-15,67139;-55,94815;SR-MT;DEL2/1;UOP01/MT
265707;28/01/2020;terça-feira;18:40:00;SP;381;73,6;SAO PAULO;Falta de Atenção à Condução;Capotamento;Com Vítimas Feridas;Anoitecer;Decrescente;Chuva;Dupla;Curva;Não;2;0;1;0;1;0;1;1;-23,37301;-46,55838;SR-SP;DEL6/3;UOP02/SP
265708;28/01/2020;terça-feira;17:00:00;AL;316;268;SATUBA;Falta de Atenção à Condução;Colisão transversal;Sem Vítimas;Anoitecer;Crescente;Céu Claro;Simples;Curva;Sim;2;0;0;0;2;0;0;2;-9,58022;-35,83876;SR-AL;DEL13/2;UOP01/AL
265709;28/01/2020;terça-feira;17:50:00;MS;163;124;NAVIRAI;Avarias e/ou desgaste excessivo no pneu;Tombamento;Com Vítimas Feridas;Anoitecer;Crescente;Nublado;Simples;Interseção de vias;Sim;1;0;1;0;0;0;1;1;-23,07795;-54,22793;SR-MS;DEL3/09;UOP01/MS
265710;28/01/2020;terça-feira;15:00:00;BA;324;528;FEIRA DE SANTANA;Falta de Atenção à Condução;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Não;2;0;1;0;1;0;1;1;-12,31728;-38,87612;SR-BA;DEL10/1;UOP01/BA
265711;28/01/2020;terça-feira;16:05:00;RS;116;168,5;CAXIAS DO SUL;Ultrapassagem Indevida;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;Não;4;0;1;0;0;3;1;2;-29,28313;-51,16252;SR-RS;DEL9/5;UOP02/RS
265713;28/01/2020;terça-feira;16:00:00;MG;381;364;SAO GONCALO DO RIO ABAIXO;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Não;1;0;0;1;0;0;1;1;-19,84956;-43,25425;SR-MG;DEL4/3;UOP01/MG
265714;28/01/2020;terça-feira;18:19:00;PI;343;349;TERESINA;Ultrapassagem Indevida;Colisão lateral;Com Vítimas Fatais;Plena Noite;Crescente;Nublado;Dupla;Reta;Sim;7;3;0;1;1;2;1;3;-5,122447;-42,79448;SR-PI;DEL17/1;UOP01/PI
265715;28/01/2020;terça-feira;19:00:00;PE;232;7,8;RECIFE;Falta de Atenção à Condução;Colisão com objeto estático;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;2;0;0;0;2;1;-8,073335;-34,96184;SR-PE;DEL11/1;UOP01/PE
